"filename", "language", "PHP", "comment", "blank", "total"
"e:\xampp 8.1\htdocs\army\vpcms\database\factories\UserFactory.php", "PHP", -23, -11, -5, -39
"e:\xampp 8.1\htdocs\army\vpcms\database\migrations\2014_10_12_000000_create_users_table.php", "PHP", -23, -6, -4, -33
"e:\xampp 8.1\htdocs\army\vpcms\database\migrations\2014_10_12_100000_create_password_reset_tokens_table.php", "PHP", -19, -6, -4, -29
"e:\xampp 8.1\htdocs\army\vpcms\database\migrations\2014_10_12_100000_create_password_resets_table.php", "PHP", -19, -10, -4, -33
"e:\xampp 8.1\htdocs\army\vpcms\database\migrations\2019_08_19_000000_create_failed_jobs_table.php", "PHP", -23, -6, -4, -33
"e:\xampp 8.1\htdocs\army\vpcms\database\migrations\2019_12_14_000001_create_personal_access_tokens_table.php", "PHP", -24, -6, -4, -34
"e:\xampp 8.1\htdocs\army\vpcms\database\migrations\2023_07_19_061410_create_permission_tables.php", "PHP", -108, -10, -24, -142
"e:\xampp 8.1\htdocs\army\vpcms\database\migrations\2023_08_14_085627_forces.php", "PHP", -20, -6, -4, -30
"e:\xampp 8.1\htdocs\army\vpcms\database\migrations\2023_08_15_044757_create_ranks_table.php", "PHP", -23, -6, -4, -33
"e:\xampp 8.1\htdocs\army\vpcms\database\migrations\2023_08_15_082447_add_new_feild_to_users_tbl.php", "PHP", -27, -6, -4, -37
"e:\xampp 8.1\htdocs\army\vpcms\database\migrations\2023_09_12_041034_create_ranaviru_types_table.php", "PHP", -20, -6, -4, -30
"e:\xampp 8.1\htdocs\army\vpcms\database\migrations\2023_09_12_051526_create_card_issue_criterias_table.php", "PHP", -20, -6, -4, -30
"e:\xampp 8.1\htdocs\army\vpcms\database\migrations\2023_09_12_051819_create_card_issuance_status_table.php", "PHP", -20, -6, -4, -30
"e:\xampp 8.1\htdocs\army\vpcms\database\migrations\2023_09_12_060630_create_ethnicity_table.php", "PHP", -20, -6, -4, -30
"e:\xampp 8.1\htdocs\army\vpcms\database\migrations\2023_09_12_065057_create_marital_status_table.php", "PHP", -20, -6, -4, -30
"e:\xampp 8.1\htdocs\army\vpcms\database\migrations\2023_09_12_080405_create_province_table.php", "PHP", -20, -6, -4, -30
"e:\xampp 8.1\htdocs\army\vpcms\database\migrations\2023_09_12_083002_create_regiment_departments_table.php", "PHP", -22, -6, -4, -32
"e:\xampp 8.1\htdocs\army\vpcms\database\migrations\2023_09_12_091319_create_district_table.php", "PHP", -22, -6, -4, -32
"e:\xampp 8.1\htdocs\army\vpcms\database\migrations\2023_09_12_100045_add_feild_to_users_tbl.php", "PHP", -20, -6, -4, -30
"e:\xampp 8.1\htdocs\army\vpcms\database\migrations\2023_09_12_101853_create_relation_ships_table.php", "PHP", -20, -6, -4, -30
"e:\xampp 8.1\htdocs\army\vpcms\database\migrations\2023_09_13_085723_create_ds_division_table.php", "PHP", -22, -6, -4, -32
"e:\xampp 8.1\htdocs\army\vpcms\database\migrations\2023_09_14_041621_create_usertype_table.php", "PHP", -20, -6, -4, -30
"e:\xampp 8.1\htdocs\army\vpcms\database\migrations\2023_09_14_085537_create_persons_table.php", "PHP", -51, -9, -4, -64
"e:\xampp 8.1\htdocs\army\vpcms\database\migrations\2023_09_14_105606_create_dependence_table.php", "PHP", -38, -6, -4, -48
"e:\xampp 8.1\htdocs\army\vpcms\database\migrations\2023_09_15_033028_create_person_statuses_table.php", "PHP", -24, -6, -4, -34
"e:\xampp 8.1\htdocs\army\vpcms\database\migrations\2023_09_18_055552_add_new_feild_person.php", "PHP", -22, -6, -4, -32
"e:\xampp 8.1\htdocs\army\vpcms\database\migrations\2023_09_19_042927_add_new_feild_user_tbl.php", "PHP", -20, -6, -4, -30
"e:\xampp 8.1\htdocs\army\vpcms\database\migrations\2023_09_19_085556_create_noks_table.php", "PHP", -37, -6, -4, -47
"e:\xampp 8.1\htdocs\army\vpcms\database\migrations\2023_09_20_105413_create_eligibilities_table.php", "PHP", -23, -6, -4, -33
"e:\xampp 8.1\htdocs\army\vpcms\database\migrations\2023_09_22_101528_create_card_issues_table.php", "PHP", -24, -6, -4, -34
"e:\xampp 8.1\htdocs\army\vpcms\database\migrations\2023_09_26_050112_create_card_prints_table.php", "PHP", -23, -6, -4, -33
"e:\xampp 8.1\htdocs\army\vpcms\database\migrations\2023_10_03_033839_create_card_details_table.php", "PHP", -22, -6, -4, -32
"e:\xampp 8.1\htdocs\army\vpcms\database\migrations\2023_10_03_064905_create_card_issue_people_table.php", "PHP", -24, -6, -4, -34
"e:\xampp 8.1\htdocs\army\vpcms\database\migrations\2023_10_24_040003_create_permission_categories_table.php", "PHP", -20, -6, -4, -30
"e:\xampp 8.1\htdocs\army\vpcms\database\migrations\2023_10_24_040247_add_new_feild_permissions_tbl.php", "PHP", -22, -6, -4, -32
"e:\xampp 8.1\htdocs\army\vpcms\database\migrations\2023_10_24_052459_add_new_feild_permissions_tbl.php", "PHP", -19, -6, -4, -29
"e:\xampp 8.1\htdocs\army\vpcms\database\seeders\CreateAdminUserSeeder.php", "PHP", -22, -5, -8, -35
"e:\xampp 8.1\htdocs\army\vpcms\database\seeders\CreateNewPermissionTableSeeder.php", "PHP", -21, -3, -5, -29
"e:\xampp 8.1\htdocs\army\vpcms\database\seeders\CreatePermissionCategoryTableSeeder.php", "PHP", -20, -3, -5, -28
"e:\xampp 8.1\htdocs\army\vpcms\database\seeders\CreatePermissionTableSeeder.php", "PHP", -92, -3, -5, -100
"e:\xampp 8.1\htdocs\army\vpcms\database\seeders\DatabaseSeeder.php", "PHP", -9, -9, -5, -23
"e:\xampp 8.1\htdocs\army\vpcms\database\seeders\PermissionTableSeeder.php", "PHP", -23, -5, -5, -33
"e:\xampp 8.1\htdocs\army\vpcms\resources\views\auth\login.blade.php", "PHP", 89, 0, 20, 109
"e:\xampp 8.1\htdocs\army\vpcms\resources\views\auth\login_old.blade.php", "PHP", 54, 0, 13, 67
"e:\xampp 8.1\htdocs\army\vpcms\resources\views\auth\passwords\confirm.blade.php", "PHP", 36, 0, 9, 45
"e:\xampp 8.1\htdocs\army\vpcms\resources\views\auth\passwords\email.blade.php", "PHP", 46, 0, 8, 54
"e:\xampp 8.1\htdocs\army\vpcms\resources\views\auth\passwords\reset.blade.php", "PHP", 67, 0, 12, 79
"e:\xampp 8.1\htdocs\army\vpcms\resources\views\auth\register.blade.php", "PHP", 92, 0, 12, 104
"e:\xampp 8.1\htdocs\army\vpcms\resources\views\auth\verify.blade.php", "PHP", 28, 0, 2, 30
"e:\xampp 8.1\htdocs\army\vpcms\resources\views\card_details\create.blade.php", "PHP", 82, 0, 11, 93
"e:\xampp 8.1\htdocs\army\vpcms\resources\views\card_details\edit.blade.php", "PHP", 82, 0, 13, 95
