"filename", "language", "PHP", "SCSS", "CSS", "JavaScript", "comment", "blank", "total"
"e:\xampp 8.1\htdocs\army\vpcms\resources\css\app.css", "CSS", 0, 0, 0, 0, 0, -1, -1
"e:\xampp 8.1\htdocs\army\vpcms\resources\js\app.js", "JavaScript", 0, 0, 0, -5, -12, -6, -23
"e:\xampp 8.1\htdocs\army\vpcms\resources\js\bootstrap.js", "JavaScript", 0, 0, 0, -4, -22, -8, -34
"e:\xampp 8.1\htdocs\army\vpcms\resources\sass\_variables.scss", "SCSS", 0, -10, 0, 0, -1, -2, -13
"e:\xampp 8.1\htdocs\army\vpcms\resources\sass\app.scss", "SCSS", 0, -7, 0, 0, -17, -10, -34
"e:\xampp 8.1\htdocs\army\vpcms\resources\views\auth\login.blade.php", "PHP", -89, 0, 0, 0, 0, -20, -109
"e:\xampp 8.1\htdocs\army\vpcms\resources\views\auth\login_old.blade.php", "PHP", -54, 0, 0, 0, 0, -13, -67
"e:\xampp 8.1\htdocs\army\vpcms\resources\views\auth\passwords\confirm.blade.php", "PHP", -36, 0, 0, 0, 0, -9, -45
"e:\xampp 8.1\htdocs\army\vpcms\resources\views\auth\passwords\email.blade.php", "PHP", -46, 0, 0, 0, 0, -8, -54
"e:\xampp 8.1\htdocs\army\vpcms\resources\views\auth\passwords\reset.blade.php", "PHP", -67, 0, 0, 0, 0, -12, -79
"e:\xampp 8.1\htdocs\army\vpcms\resources\views\auth\register.blade.php", "PHP", -92, 0, 0, 0, 0, -12, -104
"e:\xampp 8.1\htdocs\army\vpcms\resources\views\auth\verify.blade.php", "PHP", -28, 0, 0, 0, 0, -2, -30
"e:\xampp 8.1\htdocs\army\vpcms\resources\views\card_details\create.blade.php", "PHP", -82, 0, 0, 0, 0, -11, -93
"e:\xampp 8.1\htdocs\army\vpcms\resources\views\card_details\edit.blade.php", "PHP", -82, 0, 0, 0, 0, -13, -95
"e:\xampp 8.1\htdocs\army\vpcms\resources\views\card_details\index.blade.php", "PHP", -38, 0, 0, 0, 0, -9, -47
"e:\xampp 8.1\htdocs\army\vpcms\resources\views\card_details\show.blade.php", "PHP", -53, 0, 0, 0, 0, -11, -64
"e:\xampp 8.1\htdocs\army\vpcms\resources\views\card_issuance_status\create.blade.php", "PHP", -55, 0, 0, 0, 0, -8, -63
"e:\xampp 8.1\htdocs\army\vpcms\resources\views\card_issuance_status\edit.blade.php", "PHP", -56, 0, 0, 0, 0, -11, -67
"e:\xampp 8.1\htdocs\army\vpcms\resources\views\card_issuance_status\index.blade.php", "PHP", -39, 0, 0, 0, 0, -9, -48
"e:\xampp 8.1\htdocs\army\vpcms\resources\views\card_issuance_status\show.blade.php", "PHP", -45, 0, 0, 0, 0, -7, -52
"e:\xampp 8.1\htdocs\army\vpcms\resources\views\card_issue_criterias\create.blade.php", "PHP", -55, 0, 0, 0, 0, -8, -63
"e:\xampp 8.1\htdocs\army\vpcms\resources\views\card_issue_criterias\edit.blade.php", "PHP", -56, 0, 0, 0, 0, -11, -67
"e:\xampp 8.1\htdocs\army\vpcms\resources\views\card_issue_criterias\index.blade.php", "PHP", -39, 0, 0, 0, 0, -9, -48
"e:\xampp 8.1\htdocs\army\vpcms\resources\views\card_issue_criterias\show.blade.php", "PHP", -45, 0, 0, 0, 0, -7, -52
"e:\xampp 8.1\htdocs\army\vpcms\resources\views\card_issue_persons\create.blade.php", "PHP", -63, 0, 0, 0, 0, -10, -73
"e:\xampp 8.1\htdocs\army\vpcms\resources\views\card_issue_persons\edit.blade.php", "PHP", -82, 0, 0, 0, 0, -13, -95
"e:\xampp 8.1\htdocs\army\vpcms\resources\views\card_issue_persons\index.blade.php", "PHP", -38, 0, 0, 0, 0, -9, -47
"e:\xampp 8.1\htdocs\army\vpcms\resources\views\card_issue_persons\show.blade.php", "PHP", -53, 0, 0, 0, 0, -11, -64
"e:\xampp 8.1\htdocs\army\vpcms\resources\views\card_prints\cardho.blade.php", "PHP", -38, 0, 0, 0, 0, -9, -47
"e:\xampp 8.1\htdocs\army\vpcms\resources\views\card_prints\cardprint.blade.php", "PHP", -38, 0, 0, 0, 0, -9, -47
"e:\xampp 8.1\htdocs\army\vpcms\resources\views\card_prints\create.blade.php", "PHP", -82, 0, 0, 0, 0, -11, -93
"e:\xampp 8.1\htdocs\army\vpcms\resources\views\card_prints\edit.blade.php", "PHP", -82, 0, 0, 0, 0, -13, -95
"e:\xampp 8.1\htdocs\army\vpcms\resources\views\card_prints\show.blade.php", "PHP", -53, 0, 0, 0, 0, -11, -64
"e:\xampp 8.1\htdocs\army\vpcms\resources\views\district\create.blade.php", "PHP", -74, 0, 0, 0, 0, -10, -84
"e:\xampp 8.1\htdocs\army\vpcms\resources\views\district\edit.blade.php", "PHP", -77, 0, 0, 0, 0, -11, -88
"e:\xampp 8.1\htdocs\army\vpcms\resources\views\district\index.blade.php", "PHP", -39, 0, 0, 0, 0, -9, -48
