Date : 2023-11-01 13:41:18
Directory : e:\xampp 8.1\htdocs\army\vpcms\routes
Total : 116 files,  -9383 codes, -67 comments, -1545 blanks, all -10995 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| CSS        |          1 |          0 |          0 |         -1 |         -1 |
| JavaScript |          2 |         -9 |        -34 |        -14 |        -57 |
| SCSS       |          2 |        -17 |        -18 |        -12 |        -47 |
| PHP        |        111 |     -9,357 |        -15 |     -1,518 |    -10,890 |
+------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                  | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                     |        116 |     -9,383 |        -67 |     -1,545 |    -10,995 |
| . (Files)                                                                             |          4 |        137 |         48 |         55 |        240 |
| ..                                                                                    |        112 |     -9,520 |       -115 |     -1,600 |    -11,235 |
| ..\resources                                                                          |        112 |     -9,520 |       -115 |     -1,600 |    -11,235 |
| ..\resources\css                                                                      |          1 |          0 |          0 |         -1 |         -1 |
| ..\resources\js                                                                       |          2 |         -9 |        -34 |        -14 |        -57 |
| ..\resources\sass                                                                     |          2 |        -17 |        -18 |        -12 |        -47 |
| ..\resources\views                                                                    |        107 |     -9,494 |        -63 |     -1,573 |    -11,130 |
| ..\resources\views (Files)                                                            |          2 |       -195 |          0 |        -33 |       -228 |
| ..\resources\views\auth                                                               |          7 |       -412 |          0 |        -76 |       -488 |
| ..\resources\views\auth (Files)                                                       |          4 |       -263 |          0 |        -47 |       -310 |
| ..\resources\views\auth\passwords                                                     |          3 |       -149 |          0 |        -29 |       -178 |
| ..\resources\views\card_details                                                       |          4 |       -255 |          0 |        -44 |       -299 |
| ..\resources\views\card_issuance_status                                               |          4 |       -195 |          0 |        -35 |       -230 |
| ..\resources\views\card_issue_criterias                                               |          4 |       -195 |          0 |        -35 |       -230 |
| ..\resources\views\card_issue_persons                                                 |          4 |       -236 |          0 |        -43 |       -279 |
| ..\resources\views\card_prints                                                        |          5 |       -293 |          0 |        -53 |       -346 |
| ..\resources\views\district                                                           |          4 |       -243 |          0 |        -41 |       -284 |
| ..\resources\views\dsdivision                                                         |          4 |       -243 |          0 |        -41 |       -284 |
| ..\resources\views\ethnicity                                                          |          4 |       -195 |          0 |        -35 |       -230 |
| ..\resources\views\forces                                                             |          4 |       -195 |          0 |        -35 |       -230 |
| ..\resources\views\layouts                                                            |          3 |       -494 |          0 |        -64 |       -558 |
| ..\resources\views\marital_status                                                     |          4 |       -195 |          0 |        -35 |       -230 |
| ..\resources\views\permission_categories                                              |          4 |       -195 |          0 |        -35 |       -230 |
| ..\resources\views\permissions                                                        |          2 |       -121 |          0 |        -22 |       -143 |
| ..\resources\views\persons                                                            |         15 |     -3,491 |        -55 |       -569 |     -4,115 |
| ..\resources\views\persons (Files)                                                    |          5 |     -1,626 |        -55 |       -237 |     -1,918 |
| ..\resources\views\persons\dependence                                                 |          5 |       -988 |          0 |       -170 |     -1,158 |
| ..\resources\views\persons\noks                                                       |          5 |       -877 |          0 |       -162 |     -1,039 |
| ..\resources\views\province                                                           |          4 |       -195 |          0 |        -35 |       -230 |
| ..\resources\views\ranaviru_types                                                     |          4 |       -195 |          0 |        -35 |       -230 |
| ..\resources\views\ranks                                                              |          4 |       -256 |          0 |        -44 |       -300 |
| ..\resources\views\regiment_departments                                               |          4 |       -240 |          0 |        -42 |       -282 |
| ..\resources\views\relation_ships                                                     |          4 |       -195 |          0 |        -35 |       -230 |
| ..\resources\views\reports                                                            |          1 |       -176 |          0 |        -25 |       -201 |
| ..\resources\views\roles                                                              |          4 |       -262 |          0 |        -38 |       -300 |
| ..\resources\views\users                                                              |          4 |       -627 |         -8 |        -88 |       -723 |
| ..\resources\views\usertype                                                           |          4 |       -195 |          0 |        -35 |       -230 |
+---------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                              | language   | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| e:\xampp 8.1\htdocs\army\vpcms\resources\css\app.css                                  | CSS        |          0 |          0 |         -1 |         -1 |
| e:\xampp 8.1\htdocs\army\vpcms\resources\js\app.js                                    | JavaScript |         -5 |        -12 |         -6 |        -23 |
| e:\xampp 8.1\htdocs\army\vpcms\resources\js\bootstrap.js                              | JavaScript |         -4 |        -22 |         -8 |        -34 |
| e:\xampp 8.1\htdocs\army\vpcms\resources\sass\_variables.scss                         | SCSS       |        -10 |         -1 |         -2 |        -13 |
| e:\xampp 8.1\htdocs\army\vpcms\resources\sass\app.scss                                | SCSS       |         -7 |        -17 |        -10 |        -34 |
| e:\xampp 8.1\htdocs\army\vpcms\resources\views\auth\login.blade.php                   | PHP        |        -89 |          0 |        -20 |       -109 |
| e:\xampp 8.1\htdocs\army\vpcms\resources\views\auth\login_old.blade.php               | PHP        |        -54 |          0 |        -13 |        -67 |
| e:\xampp 8.1\htdocs\army\vpcms\resources\views\auth\passwords\confirm.blade.php       | PHP        |        -36 |          0 |         -9 |        -45 |
| e:\xampp 8.1\htdocs\army\vpcms\resources\views\auth\passwords\email.blade.php         | PHP        |        -46 |          0 |         -8 |        -54 |
| e:\xampp 8.1\htdocs\army\vpcms\resources\views\auth\passwords\reset.blade.php         | PHP        |        -67 |          0 |        -12 |        -79 |
| e:\xampp 8.1\htdocs\army\vpcms\resources\views\auth\register.blade.php                | PHP        |        -92 |          0 |        -12 |       -104 |
| e:\xampp 8.1\htdocs\army\vpcms\resources\views\auth\verify.blade.php                  | PHP        |        -28 |          0 |         -2 |        -30 |
